idx,idm,errors
0,89546,0.0
1,89547,0.0
2,89562,0.0
3,89578,0.0
4,89580,0.0
5,89593,0.0
6,89595,0.0
7,89596,0.0
8,89610,0.0
9,89623,0.0
10,89625,0.0
11,89628,0.0
12,89640,0.0
13,89641,0.0
14,89642,0.0
15,89644,0.0
16,89656,0.0
17,89660,0.0
18,89671,0.0
19,89672,0.0
20,89673,0.0
21,89676,0.0
22,89684,0.0
23,89686,0.0
24,89699,0.0
25,89703,0.0
26,89714,0.0
27,89716,0.0
28,89720,0.0
29,89729,0.0
30,89731,0.0
31,89732,0.0
32,89744,0.0
33,89745,0.0
34,89758,0.0
35,89760,0.0
36,89763,0.0
37,89764,0.0
38,89776,0.0
39,89779,0.0
40,89781,0.0
41,89782,0.0
42,89791,0.0
43,89792,0.0
44,89805,0.0
45,89807,0.0
46,89808,0.0
47,89809,0.0
48,89812,0.0
49,89822,0.0
50,89823,0.0
51,89827,0.0
52,89837,0.0
53,89839,0.0
54,89842,0.0
55,89857,0.0
56,89858,0.0
57,89861,0.0
58,89871,0.0
59,89872,0.0
60,89874,0.0
61,89875,0.0
62,89889,0.0
63,89891,0.0
64,89894,0.0
65,89904,0.0
66,89906,0.0
67,89907,0.0
68,89909,0.0
69,89916,0.0
70,89918,0.0
71,89919,0.0
72,89934,0.0
73,89936,0.0
74,89939,0.0
75,89947,0.0
76,89949,0.0
77,89964,0.0
78,89974,0.0
79,89995,0.0
80,90007,0.0
81,90008,0.0
82,90043,0.0
83,90051,0.0
