idx,idm,errors
0,88899,0.0
1,88919,0.0
2,88930,0.0
3,88957,0.0
4,88959,0.0
5,88970,0.0
6,88971,0.0
7,89011,0.0
8,89014,0.0
9,89016,0.0
10,89026,0.0
11,89027,0.0
12,89037,0.0
13,89057,0.0
14,89067,0.0
15,89071,0.0
16,89082,0.0
17,89097,0.0
18,89099,0.0
19,89102,0.0
20,89111,0.0
21,89124,0.0
22,89127,0.0
23,89130,0.0
24,89140,0.0
25,89150,0.0
26,89151,0.0
27,89155,0.0
28,89158,0.0
29,89166,0.0
30,89168,0.0
31,89170,0.0
32,89180,0.0
33,89196,0.0
34,89202,0.0
35,89205,0.0
36,89207,0.0
37,89222,0.0
38,89223,0.0
39,89224,0.0
40,89231,0.0
41,89232,0.0
42,89235,0.0
43,89244,0.0
44,89247,0.0
45,89255,0.0
46,89261,0.0
47,89268,0.0
48,89270,0.0
49,89273,0.0
50,89274,0.0
51,89287,0.0
52,89299,0.0
53,89300,0.0
54,89302,0.0
55,89327,0.0
56,89346,0.0
57,89356,0.0
58,89374,0.0
59,89375,0.0
60,89404,0.0
61,89413,0.0
62,89416,0.0
63,91413,0.0
