idx,idm,errors
0,92058,0.0
1,92069,0.0
2,92084,0.0
3,92098,0.0
4,92109,0.0
5,92110,0.0
6,92120,0.0
7,92122,0.0
8,92133,0.0
9,92135,0.0
10,92146,0.0
11,92148,0.0
12,92150,0.0
13,92160,0.0
14,92162,0.0
15,92173,0.0
16,92174,0.0
17,92175,0.0
18,92177,0.0
19,92189,0.0
20,92192,0.0
21,92194,0.0
22,92204,0.0
23,92213,0.0
24,92214,0.0
25,92215,0.0
26,92218,0.0
27,92229,0.0
28,92231,0.0
29,92234,0.0
30,92236,0.0
31,92247,0.0
32,92248,0.0
33,92250,0.0
34,92257,0.0
35,92267,0.0
36,92268,0.0
37,92269,0.0
38,92272,0.0
39,92287,0.0
40,92290,0.0
41,92291,0.0
42,92292,0.0
43,92293,0.0
44,92300,0.0
45,92302,0.0
46,92303,0.0
47,92314,0.0
48,92317,0.0
49,92319,0.0
50,92331,0.0
51,92332,0.0
52,92334,0.0
53,92342,0.0
54,92344,0.0
55,92347,0.0
56,92358,0.0
57,92359,0.0
58,92360,0.0
59,92361,0.0
60,92363,0.0
61,92373,0.0
62,92384,0.0
63,92385,0.0
64,92386,0.0
65,92398,0.0
66,92399,0.0
67,92402,0.0
68,92404,0.0
69,92416,0.0
70,92418,0.0
71,92420,0.0
72,92426,0.0
73,92428,0.0
74,92429,0.0
75,92443,0.0
76,92445,0.0
77,92456,0.0
78,92457,0.0
79,92458,0.0
80,92475,0.0
81,92477,0.0
82,92479,0.0
83,92487,0.0
84,92488,0.0
85,92489,0.0
86,92513,0.0
87,92530,0.0
88,92532,0.0
89,92560,0.0
90,92561,0.0
91,92603,0.0
92,92604,0.0
93,92634,0.0
