idx,idm,errors
0,120937,0.0
1,120938,0.0
2,120953,0.0
3,120956,0.0
4,120958,0.0
5,120966,0.0
6,120967,0.0
7,120969,0.0
8,120982,0.0
9,120987,0.0
10,120997,0.0
11,120998,0.0
12,121000,0.0
13,121001,0.0
14,121005,0.0
15,121008,0.0
16,121017,0.0
17,121021,0.0
18,121023,0.0
19,121024,0.0
20,121035,0.0
21,121037,0.0
22,121048,0.0
23,121049,0.0
24,121052,0.0
25,121056,0.0
26,121069,0.0
27,121070,0.0
28,121071,0.0
29,121075,0.0
30,121085,0.0
31,121086,0.0
32,121087,0.0
33,121088,0.0
34,121095,0.0
35,121102,0.0
36,121103,0.0
37,121107,0.0
38,121115,0.0
39,121117,0.0
40,121120,0.0
41,121122,0.0
42,121124,0.0
43,121137,0.0
44,121138,0.0
45,121140,0.0
46,121142,0.0
47,121153,0.0
48,121156,0.0
49,121158,0.0
50,121169,0.0
51,121171,0.0
52,121172,0.0
53,121174,0.0
54,121175,0.0
55,121183,0.0
56,121186,0.0
57,121191,0.0
58,121193,0.0
59,121197,0.0
60,121198,0.0
61,121209,0.0
62,121211,0.0
63,121212,0.0
64,121214,0.0
65,121223,0.0
66,121226,0.0
67,121230,0.0
68,121240,0.0
69,121245,0.0
70,121246,0.0
71,121248,0.0
72,121249,0.0
73,121261,0.0
74,121263,0.0
75,121265,0.0
76,121281,0.0
77,121282,0.0
78,121284,0.0
79,121285,0.0
80,121288,0.0
81,121302,0.0
82,121304,0.0
83,121319,0.0
84,121322,0.0
85,121323,0.0
86,121327,0.0
87,121334,0.0
88,121335,0.0
89,121341,0.0
90,121353,0.0
91,121354,0.0
92,121359,0.0
93,121360,0.0
94,121361,0.0
95,121374,0.0
96,121376,0.0
97,121381,0.0
98,121400,0.0
99,121401,0.0
100,121402,0.0
101,121413,0.0
102,121417,0.0
103,121430,0.0
104,121438,0.0
105,121439,0.0
106,121454,0.0
107,121456,0.0
108,121458,0.0
109,121459,0.0
110,121474,0.0
111,121475,0.0
112,121478,0.0
113,121499,0.0
114,121502,0.0
115,121514,0.0
116,121518,0.0
117,121566,0.0
118,121586,0.0
119,121560,0.0
120,121605,0.0
121,121584,0.0
122,121607,0.0
123,121631,0.0
124,121626,0.0
125,121629,0.0
126,121603,0.0
127,121647,0.0
128,121650,0.0
129,121667,0.0
130,121668,0.0
131,121671,0.0
132,121652,0.0
133,121688,0.0
134,121694,0.0
135,121718,0.0
136,121712,0.0
137,121736,0.0
138,121716,0.0
139,121734,0.0
140,121737,0.0
141,121756,0.0
142,121761,0.0
143,121739,0.0
144,121777,0.0
145,121779,0.0
146,121760,0.0
147,121808,0.0
148,121804,0.0
149,121830,0.0
150,121807,0.0
151,121825,0.0
152,121828,0.0
153,121853,0.0
154,121857,0.0
155,121833,0.0
156,121876,0.0
157,121878,0.0
158,121856,0.0
159,121899,0.0
160,121901,0.0
161,121929,0.0
162,121931,0.0
163,121951,0.0
164,121952,0.0
165,121986,0.0
166,122006,0.0
