idx,idm,errors
0,118833,0.0
1,118871,0.0
2,118872,0.0
3,118927,0.0
4,118912,0.0
5,118932,0.0
6,118924,0.0
7,118893,0.0
8,118926,0.0
9,118947,0.0
10,118950,0.0
11,118904,0.0
12,118893,0.0
13,118926,0.0
14,118946,0.0
15,118949,0.0
16,118933,0.0
17,118950,0.0
18,118924,0.0
19,118944,0.0
20,118946,0.0
21,118962,0.0
22,118940,0.0
23,118960,0.0
24,118980,0.0
25,118963,0.0
26,118967,0.0
27,118966,0.0
28,118956,0.0
29,118941,0.0
30,118978,0.0
31,118996,0.0
32,119000,0.0
33,119001,0.0
34,118976,0.0
35,118995,0.0
36,119013,0.0
37,118999,0.0
38,119018,0.0
39,118990,0.0
40,118974,0.0
41,119011,0.0
42,119030,0.0
43,119015,0.0
44,119010,0.0
45,119029,0.0
46,119031,0.0
47,119025,0.0
48,119042,0.0
49,119046,0.0
50,119049,0.0
51,119051,0.0
52,119026,0.0
53,119064,0.0
54,119066,0.0
55,119077,0.0
56,119044,0.0
57,119075,0.0
58,119059,0.0
59,119062,0.0
60,119093,0.0
61,119077,0.0
62,119077,0.0
63,119081,0.0
64,119074,0.0
65,119094,0.0
66,119108,0.0
67,119088,0.0
68,119102,0.0
69,119089,0.0
70,119125,0.0
71,119105,0.0
72,119120,0.0
73,119122,0.0
74,119126,0.0
75,119116,0.0
76,119119,0.0
77,119136,0.0
78,119125,0.0
79,119133,0.0
80,119149,0.0
81,119137,0.0
82,119157,0.0
83,119116,0.0
84,119160,0.0
85,119163,0.0
86,119164,0.0
87,119165,0.0
88,119147,0.0
89,119159,0.0
90,119178,0.0
91,119177,0.0
92,119163,0.0
93,119157,0.0
94,119159,0.0
95,119175,0.0
96,119177,0.0
97,119189,0.0
98,119180,0.0
99,119185,0.0
100,119185,0.0
101,119187,0.0
102,119206,0.0
103,119207,0.0
104,119203,0.0
105,119205,0.0
106,119216,0.0
107,119231,0.0
108,119219,0.0
109,119222,0.0
110,119233,0.0
111,119243,0.0
112,119245,0.0
113,119240,0.0
114,119242,0.0
115,119243,0.0
116,119246,0.0
117,119267,0.0
118,119255,0.0
119,119258,0.0
120,119268,0.0
121,119259,0.0
122,119281,0.0
123,119284,0.0
124,119286,0.0
125,119280,0.0
126,119281,0.0
127,119296,0.0
128,119306,0.0
129,119297,0.0
130,119318,0.0
131,119303,0.0
132,119320,0.0
133,119320,0.0
134,119324,0.0
135,119332,0.0
136,119321,0.0
137,119344,0.0
138,119346,0.0
139,119360,0.0
140,119362,0.0
141,119363,0.0
142,119388,0.0
143,119402,0.0
144,119404,0.0
145,119430,0.0
146,119431,0.0
