idx,idm,errors
0,111441,0.0
1,111461,0.0
2,111480,0.0
3,111501,0.0
4,111521,0.0
5,111522,0.0
6,111545,0.0
7,111546,0.0
8,111566,0.0
9,111568,0.0
10,111586,0.0
11,111612,0.0
12,111613,0.0
13,111633,0.0
14,111655,0.0
15,111677,0.0
16,111678,0.0
17,111701,0.0
18,111719,0.0
19,111721,0.0
20,111742,0.0
21,111758,0.0
22,111759,0.0
23,111786,0.0
24,111799,0.0
25,111800,0.0
26,111822,0.0
27,111824,0.0
28,111842,0.0
29,111843,0.0
30,111866,0.0
31,111882,0.0
32,111883,0.0
33,111911,0.0
34,111912,0.0
35,111929,0.0
36,111947,0.0
37,111948,0.0
38,111949,0.0
39,111970,0.0
40,111991,0.0
41,111993,0.0
42,111995,0.0
43,112014,0.0
44,112015,0.0
45,112016,0.0
46,112030,0.0
47,112033,0.0
48,112055,0.0
49,112056,0.0
50,112057,0.0
51,112058,0.0
52,112079,0.0
53,112082,0.0
54,112101,0.0
55,112118,0.0
56,112119,0.0
57,112121,0.0
58,112142,0.0
59,112164,0.0
60,112166,0.0
61,112169,0.0
62,112184,0.0
63,112186,0.0
64,112187,0.0
65,112206,0.0
66,112208,0.0
67,112234,0.0
68,112236,0.0
69,112237,0.0
70,112252,0.0
71,112253,0.0
72,112274,0.0
73,112276,0.0
74,112277,0.0
75,112299,0.0
76,112300,0.0
77,112319,0.0
78,112320,0.0
79,112341,0.0
80,112342,0.0
81,112361,0.0
82,112362,0.0
83,112363,0.0
84,112365,0.0
85,112382,0.0
86,112383,0.0
87,112403,0.0
88,112404,0.0
89,112406,0.0
90,112407,0.0
91,112428,0.0
92,112429,0.0
93,112450,0.0
94,112452,0.0
95,112453,0.0
96,112472,0.0
97,112493,0.0
98,112495,0.0
99,112497,0.0
100,112498,0.0
101,112520,0.0
102,112540,0.0
103,112542,0.0
104,112543,0.0
105,112545,0.0
106,112569,0.0
107,112571,0.0
108,112587,0.0
109,112588,0.0
110,112608,0.0
111,112612,0.0
112,112631,0.0
113,112632,0.0
114,112656,0.0
115,112658,0.0
116,112677,0.0
117,112699,0.0
118,112702,0.0
119,112723,0.0
120,112745,0.0
121,112746,0.0
122,112747,0.0
123,112774,0.0
124,112793,0.0
125,112796,0.0
126,112797,0.0
127,112825,0.0
128,112826,0.0
129,112866,0.0
130,112869,0.0
131,112872,0.0
132,112895,0.0
133,112924,0.0
134,112925,0.0
135,112974,0.0
136,112978,0.0
137,112979,0.0
138,113029,0.0
139,113032,0.0
140,113062,0.0
141,113063,0.0
142,113118,0.0
143,113119,0.0
144,113156,0.0
145,113186,0.0
146,113219,0.0
