idx,idm,errors
0,110714,0.0
1,110715,0.0
2,110739,0.0
3,110740,0.0
4,110756,0.0
5,110757,0.0
6,110775,0.0
7,110776,0.0
8,110778,0.0
9,110779,0.0
10,110780,0.0
11,110781,0.0
12,110799,0.0
13,110800,0.0
14,110815,0.0
15,110817,0.0
16,110818,0.0
17,110819,0.0
18,110840,0.0
19,110841,0.0
20,110858,0.0
21,110859,0.0
22,110860,0.0
23,110861,0.0
24,110862,0.0
25,110882,0.0
26,110883,0.0
27,110884,0.0
28,110898,0.0
29,110900,0.0
30,110902,0.0
31,110903,0.0
32,110904,0.0
33,110905,0.0
34,110906,0.0
35,110923,0.0
36,110924,0.0
37,110925,0.0
38,110939,0.0
39,110940,0.0
40,110943,0.0
41,110944,0.0
42,110945,0.0
43,110957,0.0
44,110960,0.0
45,110962,0.0
46,110963,0.0
47,110964,0.0
48,110965,0.0
49,110982,0.0
50,110985,0.0
51,110987,0.0
52,110988,0.0
53,110989,0.0
54,111001,0.0
55,111005,0.0
56,111006,0.0
57,111021,0.0
58,111023,0.0
59,111025,0.0
60,111027,0.0
61,111028,0.0
62,111029,0.0
63,111030,0.0
64,111031,0.0
65,111042,0.0
66,111045,0.0
67,111049,0.0
68,111050,0.0
69,111051,0.0
70,111052,0.0
71,111066,0.0
72,111068,0.0
73,111070,0.0
74,111071,0.0
75,111081,0.0
76,111082,0.0
77,111087,0.0
78,111089,0.0
79,111090,0.0
80,111091,0.0
81,111092,0.0
82,111093,0.0
83,111094,0.0
84,111105,0.0
85,111106,0.0
86,111107,0.0
87,111110,0.0
88,111112,0.0
89,111119,0.0
90,111122,0.0
91,111124,0.0
92,111127,0.0
93,111128,0.0
94,111129,0.0
95,111130,0.0
96,111131,0.0
97,111143,0.0
98,111146,0.0
99,111147,0.0
100,111149,0.0
101,111160,0.0
102,111161,0.0
103,111163,0.0
104,111164,0.0
105,111166,0.0
106,111167,0.0
107,111168,0.0
108,111170,0.0
109,111171,0.0
110,111172,0.0
111,111173,0.0
112,111180,0.0
113,111182,0.0
114,111185,0.0
115,111189,0.0
116,111201,0.0
117,111203,0.0
118,111206,0.0
119,111208,0.0
120,111210,0.0
121,111212,0.0
122,111213,0.0
123,111214,0.0
124,111223,0.0
125,111224,0.0
126,111230,0.0
127,111231,0.0
128,111232,0.0
129,111243,0.0
130,111244,0.0
131,111245,0.0
132,111248,0.0
133,111250,0.0
134,111251,0.0
135,111261,0.0
136,111262,0.0
137,111266,0.0
138,111274,0.0
139,111285,0.0
140,111287,0.0
141,111289,0.0
142,111291,0.0
143,111293,0.0
144,111294,0.0
145,111295,0.0
146,111308,0.0
147,111310,0.0
148,111319,0.0
149,111320,0.0
150,111327,0.0
151,111328,0.0
152,111330,0.0
153,111332,0.0
154,111335,0.0
155,111345,0.0
156,111347,0.0
157,111354,0.0
158,111355,0.0
159,111366,0.0
160,111367,0.0
161,111370,0.0
162,111371,0.0
163,111373,0.0
164,111390,0.0
165,111397,0.0
166,111399,0.0
167,111410,0.0
168,111428,0.0
169,111429,0.0
170,111431,0.0
171,111439,0.0
172,111454,0.0
