idx,idm,errors
0,84266,0.0
1,84306,0.0
2,84328,0.0
3,84349,0.0
4,84376,0.0
5,84393,0.0
6,84397,0.0
7,84421,0.0
8,84439,0.0
9,84442,0.0
10,84460,0.0
11,84487,0.0
12,84489,0.0
13,84513,0.0
14,84536,0.0
15,84551,0.0
16,84577,0.0
17,84578,0.0
18,84606,0.0
19,84626,0.0
20,84645,0.0
21,84671,0.0
22,84690,0.0
23,84691,0.0
24,84715,0.0
25,84739,0.0
26,84740,0.0
27,84783,0.0
28,84784,0.0
29,84800,0.0
30,84828,0.0
31,84845,0.0
32,84847,0.0
33,84872,0.0
34,84873,0.0
35,84897,0.0
36,84919,0.0
37,84920,0.0
38,84942,0.0
39,84964,0.0
40,84965,0.0
41,84966,0.0
42,84986,0.0
43,84991,0.0
44,85009,0.0
45,85010,0.0
46,85013,0.0
47,85017,0.0
48,85035,0.0
49,85058,0.0
50,85060,0.0
51,85065,0.0
52,85080,0.0
53,85082,0.0
54,85101,0.0
55,85104,0.0
56,85129,0.0
57,85150,0.0
58,85153,0.0
59,85172,0.0
60,85175,0.0
