idx,idm,errors
0,104973,0.0
1,105139,0.0
2,105300,0.0
3,105308,0.0
4,105156,0.0
5,105158,0.0
6,105331,0.0
7,105300,0.0
8,105307,0.0
9,105311,0.0
10,105314,0.0
11,105154,0.0
12,105477,0.0
13,105160,0.0
14,105164,0.0
15,105339,0.0
16,105304,0.0
17,105460,0.0
18,105464,0.0
19,105468,0.0
20,105469,0.0
21,105474,0.0
22,105480,0.0
23,105486,0.0
24,105487,0.0
25,105621,0.0
26,105622,0.0
27,105758,0.0
28,105628,0.0
29,105635,0.0
30,105764,0.0
31,105765,0.0
32,105640,0.0
33,105761,0.0
34,105767,0.0
35,105768,0.0
36,105887,0.0
37,105771,0.0
38,105772,0.0
39,105891,0.0
40,105893,0.0
41,106017,0.0
42,105897,0.0
43,105900,0.0
44,106019,0.0
45,106022,0.0
46,106025,0.0
47,106029,0.0
48,106161,0.0
49,106030,0.0
50,106033,0.0
51,106165,0.0
52,106162,0.0
53,106166,0.0
54,106046,0.0
55,106171,0.0
56,106172,0.0
57,106178,0.0
58,106304,0.0
59,106183,0.0
60,106184,0.0
61,106305,0.0
62,106306,0.0
63,106311,0.0
64,106312,0.0
65,106321,0.0
66,106314,0.0
67,106328,0.0
68,106327,0.0
69,106330,0.0
70,106509,0.0
71,106339,0.0
72,106427,0.0
73,106437,0.0
74,106507,0.0
75,106517,0.0
76,106517,0.0
77,106518,0.0
78,106578,0.0
